date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-12-21,61,20.0,,0.2,12.200000000000001
2020-12-22,52,20.0,,0.2,10.4
2020-12-23,45,20.0,,0.2,9.0
2020-12-24,42,20.0,,0.2,8.4
2020-12-25,42,20.0,,0.2,8.4
2020-12-26,96,20.0,,0.2,19.200000000000003
2020-12-27,98,34.0,False,0.34,33.32
2020-12-28,79,34.0,,0.34,26.860000000000003
2020-12-29,86,34.0,,0.34,29.240000000000002
2020-12-30,70,34.0,,0.34,23.8
2020-12-31,74,34.0,,0.34,25.16
2021-01-01,39,34.0,,0.34,13.260000000000002
2021-01-02,70,34.0,,0.34,23.8
2021-01-03,64,45.0,False,0.45,28.8
2021-01-04,62,45.0,,0.45,27.900000000000002
2021-01-05,53,45.0,,0.45,23.85
2021-01-06,70,45.0,,0.45,31.5
2021-01-07,86,45.0,,0.45,38.7
2021-01-08,59,45.0,,0.45,26.55
2021-01-09,53,45.0,,0.45,23.85
2021-01-10,64,50.0,False,0.5,32.0
2021-01-11,100,50.0,,0.5,50.0
2021-01-12,63,50.0,,0.5,31.5
2021-01-13,63,50.0,,0.5,31.5
2021-01-14,57,50.0,,0.5,28.5
2021-01-15,58,50.0,,0.5,29.0
2021-01-16,49,50.0,,0.5,24.5
2021-01-17,43,34.0,False,0.34,14.620000000000001
2021-01-18,42,34.0,,0.34,14.280000000000001
2021-01-19,39,34.0,,0.34,13.260000000000002
2021-01-20,44,34.0,,0.34,14.96
2021-01-21,61,34.0,,0.34,20.740000000000002
2021-01-22,59,34.0,,0.34,20.060000000000002
2021-01-23,34,34.0,,0.34,11.56
2021-01-24,37,30.0,False,0.3,11.1
2021-01-25,47,30.0,,0.3,14.1
2021-01-26,49,30.0,,0.3,14.7
2021-01-27,42,30.0,,0.3,12.6
2021-01-28,47,30.0,,0.3,14.1
2021-01-29,56,30.0,,0.3,16.8
2021-01-30,43,30.0,,0.3,12.9
2021-01-31,36,25.0,False,0.25,9.0
2021-02-01,44,25.0,,0.25,11.0
2021-02-02,39,25.0,,0.25,9.75
2021-02-03,39,25.0,,0.25,9.75
2021-02-04,34,25.0,,0.25,8.5
